manifest_id,manifest_version,filename,env,subject,activity,subtype,trial,split_id,split_assignment,split_source,split_unit,decision_scope,test_sealed,thresholds_decided_from,resampled_count,excluded,exclude_reason,search_mode,search_start_original,search_end_original,smooth_frames,k_mad,sustain_frames,param_set_id,onset_frame_original,onset_frame_clean,rise_frame_original,rise_frame_clean,peak_frame_original,peak_frame_clean,baseline_median,baseline_mad,baseline_iqr,baseline_p75,baseline_p90,baseline_noise_ratio,baseline_mad_ratio,rise_strength,rise_slope,slope_window,slope_edge_clipped,peak_distance,topk_spread,topk_multimodal,param_sensitivity_range,param_sensitivity_mad,confidence_ref,rise_outside_nominal,peak_outside_nominal,nominal_broad_delta,needs_review,needs_review_hard_reasons,needs_review_soft_reasons,review_priority,review_priority_reasons
onset_probe_2026-06-05,probe_long_v1,E1_S01_A_FALL_SIT_B_T001.csv,1,1,FALL_SIT_B,FALL_SIT_B,1,within_subject_seed42_val0.2_test0.2_pretrained6,test,split_safesignal_within_subject,filename,demo_primary_pretrained6,True,train+val,553,False,,nominal,190,350,5,2.5,3,k2.5_s3,251,151,251,151,260,160,0.15156,0.00772,0.01538,0.16104,0.17062,1.12575,0.05092,1.19207,0.02458,5,False,60,17,False,7.0,0.0,0.59118,False,False,0,False,,,high,has_hard_review
onset_probe_2026-06-05,probe_long_v1,E1_S01_A_FALL_SIT_B_T001.csv,1,1,FALL_SIT_B,FALL_SIT_B,1,within_subject_seed42_val0.2_test0.2_pretrained6,test,split_safesignal_within_subject,filename,demo_primary_pretrained6,True,train+val,553,False,,nominal,190,350,5,2.5,5,k2.5_s5,251,151,251,151,260,160,0.15156,0.00772,0.01538,0.16104,0.17062,1.12575,0.05092,1.19207,0.02458,5,False,60,8,False,7.0,0.0,0.60123,False,False,0,False,,,high,has_hard_review
onset_probe_2026-06-05,probe_long_v1,E1_S01_A_FALL_SIT_B_T001.csv,1,1,FALL_SIT_B,FALL_SIT_B,1,within_subject_seed42_val0.2_test0.2_pretrained6,test,split_safesignal_within_subject,filename,demo_primary_pretrained6,True,train+val,553,False,,nominal,190,350,5,3.0,3,k3.0_s3,251,151,251,151,260,160,0.15156,0.00772,0.01538,0.16104,0.17062,1.12575,0.05092,1.19207,0.02458,5,False,60,17,False,7.0,0.0,0.59118,False,False,0,False,,,high,has_hard_review
onset_probe_2026-06-05,probe_long_v1,E1_S01_A_FALL_SIT_B_T001.csv,1,1,FALL_SIT_B,FALL_SIT_B,1,within_subject_seed42_val0.2_test0.2_pretrained6,test,split_safesignal_within_subject,filename,demo_primary_pretrained6,True,train+val,553,False,,nominal,190,350,5,3.0,5,k3.0_s5,256,156,256,156,260,160,0.15156,0.00772,0.01538,0.16104,0.17062,1.12575,0.05092,1.15337,0.00666,5,False,60,2,False,7.0,0.0,0.59187,False,False,0,False,,,high,has_hard_review
onset_probe_2026-06-05,probe_long_v1,E1_S01_A_FALL_SIT_B_T001.csv,1,1,FALL_SIT_B,FALL_SIT_B,1,within_subject_seed42_val0.2_test0.2_pretrained6,test,split_safesignal_within_subject,filename,demo_primary_pretrained6,True,train+val,553,False,,nominal,190,350,5,3.5,3,k3.5_s3,251,151,251,151,260,160,0.15156,0.00772,0.01538,0.16104,0.17062,1.12575,0.05092,1.19207,0.02458,5,False,60,17,False,7.0,0.0,0.59118,False,False,0,False,,,high,has_hard_review
onset_probe_2026-06-05,probe_long_v1,E1_S01_A_FALL_SIT_B_T001.csv,1,1,FALL_SIT_B,FALL_SIT_B,1,within_subject_seed42_val0.2_test0.2_pretrained6,test,split_safesignal_within_subject,filename,demo_primary_pretrained6,True,train+val,553,False,,nominal,190,350,5,3.5,5,k3.5_s5,258,158,258,158,260,160,0.15156,0.00772,0.01538,0.16104,0.17062,1.12575,0.05092,1.22231,0.01219,5,False,60,1,False,7.0,0.0,0.61491,False,False,0,False,,,high,has_hard_review
onset_probe_2026-06-05,probe_long_v1,E1_S01_A_FALL_SIT_B_T001.csv,1,1,FALL_SIT_B,FALL_SIT_B,1,within_subject_seed42_val0.2_test0.2_pretrained6,test,split_safesignal_within_subject,filename,demo_primary_pretrained6,True,train+val,553,False,,broad,180,400,5,2.5,3,k2.5_s3,251,151,251,151,260,160,0.15156,0.00772,0.01538,0.16104,0.17062,1.12575,0.05092,1.19207,0.02458,5,False,60,17,False,7.0,0.0,0.59118,False,False,0,False,,,high,has_hard_review
onset_probe_2026-06-05,probe_long_v1,E1_S01_A_FALL_SIT_B_T001.csv,1,1,FALL_SIT_B,FALL_SIT_B,1,within_subject_seed42_val0.2_test0.2_pretrained6,test,split_safesignal_within_subject,filename,demo_primary_pretrained6,True,train+val,553,False,,broad,180,400,5,2.5,5,k2.5_s5,251,151,251,151,260,160,0.15156,0.00772,0.01538,0.16104,0.17062,1.12575,0.05092,1.19207,0.02458,5,False,60,132,True,7.0,0.0,0.46268,False,False,0,True,topk_no_consensus_hard,,high,has_hard_review
onset_probe_2026-06-05,probe_long_v1,E1_S01_A_FALL_SIT_B_T001.csv,1,1,FALL_SIT_B,FALL_SIT_B,1,within_subject_seed42_val0.2_test0.2_pretrained6,test,split_safesignal_within_subject,filename,demo_primary_pretrained6,True,train+val,553,False,,broad,180,400,5,3.0,3,k3.0_s3,251,151,251,151,260,160,0.15156,0.00772,0.01538,0.16104,0.17062,1.12575,0.05092,1.19207,0.02458,5,False,60,17,False,7.0,0.0,0.59118,False,False,0,False,,,high,has_hard_review
onset_probe_2026-06-05,probe_long_v1,E1_S01_A_FALL_SIT_B_T001.csv,1,1,FALL_SIT_B,FALL_SIT_B,1,within_subject_seed42_val0.2_test0.2_pretrained6,test,split_safesignal_within_subject,filename,demo_primary_pretrained6,True,train+val,553,False,,broad,180,400,5,3.0,5,k3.0_s5,256,156,256,156,260,160,0.15156,0.00772,0.01538,0.16104,0.17062,1.12575,0.05092,1.15337,0.00666,5,False,60,2,False,7.0,0.0,0.59187,False,False,0,False,,,high,has_hard_review
